File,Expected,Pred_bow,Pred_bow_ngrams,Pred_ner_bow,Pred_tfidf,Pred_tfidf_ngrams
g0pB_taskd.txt,light,heavy,heavy,heavy,heavy,heavy
g0pD_taskb.txt,light,cut,cut,non,cut,cut
g2pA_taske.txt,non,cut,cut,cut,cut,non
g4pE_taskb.txt,light,cut,cut,cut,cut,cut
g2pE_taska.txt,heavy,cut,cut,cut,cut,cut
g0pB_taskb.txt,non,cut,non,non,non,non
g2pC_taska.txt,cut,light,light,light,light,cut
g3pA_taskd.txt,cut,light,light,light,cut,cut
g2pA_taskc.txt,light,light,light,cut,light,light
g0pA_taske.txt,non,heavy,heavy,non,heavy,non
g3pC_taska.txt,cut,cut,cut,cut,cut,cut
g1pB_taskd.txt,light,light,light,heavy,light,cut
g0pC_taskc.txt,non,cut,cut,non,cut,cut
g1pA_taskb.txt,heavy,cut,cut,cut,cut,non
g4pD_taskc.txt,non,light,light,light,light,heavy
g0pE_taskd.txt,non,non,non,non,light,non
g1pD_taskb.txt,cut,cut,cut,cut,cut,cut
g2pB_taskc.txt,heavy,cut,cut,non,light,cut
g4pD_taska.txt,light,light,light,cut,light,light
g4pE_taske.txt,non,light,light,cut,light,light
g0pE_taske.txt,cut,light,light,light,light,cut
g3pA_taskb.txt,heavy,cut,cut,cut,cut,cut
g2pC_taskc.txt,non,cut,cut,light,cut,non
g0pA_taskd.txt,heavy,cut,cut,cut,cut,cut
g4pB_taskb.txt,non,non,non,non,non,non
g2pA_taska.txt,non,non,non,heavy,non,non
g0pB_taske.txt,heavy,cut,cut,light,cut,cut
g1pB_taskb.txt,non,non,non,cut,non,non
g1pB_taske.txt,cut,cut,cut,light,light,light
