File,Expected,Pred_bow,Pred_bow_ngrams,Pred_ner_bow,Pred_tfidf,Pred_tfidf_ngrams
g0pB_taskd.txt,light,heavy,heavy,heavy,heavy,heavy
g0pD_taskb.txt,light,non,heavy,non,heavy,heavy
g2pA_taske.txt,non,cut,non,cut,cut,non
g4pE_taskb.txt,light,heavy,heavy,non,heavy,heavy
g2pE_taska.txt,heavy,cut,cut,heavy,cut,cut
g0pB_taskb.txt,non,non,non,non,non,non
g2pC_taska.txt,cut,cut,cut,light,cut,cut
g3pA_taskd.txt,cut,heavy,heavy,light,heavy,cut
g2pA_taskc.txt,light,heavy,heavy,heavy,heavy,heavy
g0pA_taske.txt,non,non,non,non,non,non
g3pC_taska.txt,cut,cut,cut,non,cut,cut
g1pB_taskd.txt,light,heavy,heavy,heavy,cut,light
g0pC_taskc.txt,non,cut,cut,non,cut,non
g1pA_taskb.txt,heavy,cut,non,non,cut,non
g4pD_taskc.txt,non,light,light,light,light,heavy
g0pE_taskd.txt,non,light,light,non,heavy,non
g1pD_taskb.txt,cut,cut,cut,cut,cut,cut
g2pB_taskc.txt,heavy,cut,cut,non,cut,heavy
g4pD_taska.txt,light,cut,cut,heavy,cut,cut
g4pE_taske.txt,non,light,light,light,light,light
g0pE_taske.txt,cut,light,light,light,light,light
g3pA_taskb.txt,heavy,non,non,non,non,non
g2pC_taskc.txt,non,cut,cut,light,cut,non
g0pA_taskd.txt,heavy,cut,cut,heavy,cut,cut
g4pB_taskb.txt,non,non,non,non,non,non
g2pA_taska.txt,non,non,non,heavy,non,non
g0pB_taske.txt,heavy,cut,cut,cut,cut,cut
g1pB_taskb.txt,non,non,non,non,non,non
g1pB_taske.txt,cut,light,light,non,light,cut
